feature_id,benchmark,task_id,task_idx,source_text,tokens,filename,rms_normalized,transition,base_label,finetuned_label,max_activation,active_tokens,active_fraction,first_position,first_percent,argmax_position,argmax_percent,encoder_base_contribution_at_max,encoder_finetuned_contribution_at_max,token_at_max,context_at_max
3048,humanevalplus,HumanEval/0,0,deepseek_base,56,same_text__humanevalplus__task_0000__gen_00__HumanEval_0.npz,True,both_pass,0,0,2.098342180252075,1,0.017857142857142856,55,98.21428571428571,55,98.21428571428571,1.0475406646728516,1.058096170425415,"
", - numbers[j]) < threshold:\n                return True\n    return False\n
3048,humanevalplus,HumanEval/1,1,deepseek_base,11,same_text__humanevalplus__task_0001__gen_00__HumanEval_1.npz,True,improvement,1,0,0.0,0,0.0,-1,-1,0,0.0,-1.1187623739242554,-0.6086081266403198,   ,    # TODO: Implement me\n    pass\n
3048,humanevalplus,HumanEval/2,2,deepseek_base,7,same_text__humanevalplus__task_0002__gen_00__HumanEval_2.npz,True,both_pass,0,0,0.0,0,0.0,-1,-1,0,0.0,-1.43904709815979,-0.6741867065429688,   ,    return number % 1\n
3048,humanevalplus,HumanEval/3,3,deepseek_base,32,same_text__humanevalplus__task_0003__gen_00__HumanEval_3.npz,True,both_pass,0,0,0.0,0,0.0,-1,-1,0,0.0,-0.7342555522918701,0.05338585376739502,   ,    balance = 0\n    for operation in operations:\n        balance += operation\n
3048,humanevalplus,HumanEval/4,4,deepseek_base,37,same_text__humanevalplus__task_0004__gen_00__HumanEval_4.npz,True,both_pass,0,0,0.0,0,0.0,-1,-1,0,0.0,-1.1117607355117798,-0.48656636476516724,   ,    mean = sum(numbers) / len(numbers)\n    return
3048,humanevalplus,HumanEval/5,5,deepseek_base,16,same_text__humanevalplus__task_0005__gen_00__HumanEval_5.npz,True,both_fail,1,1,0.0,0,0.0,-1,-1,0,0.0,-1.592081069946289,-1.9428759813308716,   ,"    return [delimeter.join(map(str, numbers))]\n"
3048,humanevalplus,HumanEval/6,6,deepseek_base,32,same_text__humanevalplus__task_0006__gen_00__HumanEval_6.npz,True,improvement,1,0,2.160506248474121,1,0.03125,6,18.75,6,18.75,0.9327417612075806,1.2350614070892334,(,"    return [max(map(lambda x: x.count('('), group.split())) for group in"
3048,humanevalplus,HumanEval/7,7,deepseek_base,15,same_text__humanevalplus__task_0007__gen_00__HumanEval_7.npz,True,both_pass,0,0,0.0,0,0.0,-1,-1,0,0.0,-1.925079584121704,-1.8839471340179443,   ,    return [s for s in strings if substring in s]\n
3048,humanevalplus,HumanEval/8,8,deepseek_base,15,same_text__humanevalplus__task_0008__gen_00__HumanEval_8.npz,True,improvement,1,0,0.0,0,0.0,-1,-1,0,0.0,-1.1864402294158936,-0.8058547973632812,   ,"    return sum(numbers), math.prod(numbers)\n"
3048,humanevalplus,HumanEval/9,9,deepseek_base,49,same_text__humanevalplus__task_0009__gen_00__HumanEval_9.npz,True,both_pass,0,0,0.0,0,0.0,-1,-1,0,0.0,-0.7324525117874146,-0.904346764087677,   ,    rolling_max_list = []\n    for i in range(len(
3048,humanevalplus,HumanEval/10,10,deepseek_base,58,same_text__humanevalplus__task_0010__gen_00__HumanEval_10.npz,True,improvement,1,0,23.934057235717773,9,0.15517241379310345,27,46.55172413793103,30,51.724137931034484,12.196534156799316,11.744817733764648,_," range(len(string), 0, -1):\n        if is_palindrome(string[:i]):\n            return string + string[:"
3048,humanevalplus,HumanEval/11,11,deepseek_base,32,same_text__humanevalplus__task_0011__gen_00__HumanEval_11.npz,True,both_pass,0,0,0.0,0,0.0,-1,-1,0,0.0,-1.3436226844787598,-1.07040536403656,   ,    return ''.join([str(int(a[i]) ^ int(
3048,humanevalplus,HumanEval/12,12,deepseek_base,63,same_text__humanevalplus__task_0012__gen_00__HumanEval_12.npz,True,both_pass,0,0,2.411231756210327,2,0.031746031746031744,15,23.80952380952381,15,23.80952380952381,1.474278211593628,0.9442485570907593,far,    if not strings:\n        return None\n    longest_so_far = strings[0]\n    for s in strings:\n        if len
3048,humanevalplus,HumanEval/13,13,deepseek_base,54,same_text__humanevalplus__task_0013__gen_00__HumanEval_13.npz,True,both_pass,0,0,4.601535797119141,3,0.05555555555555555,20,37.03703703703704,20,37.03703703703704,2.1481993198394775,2.460630416870117, greatest," b:\n        return a\n    if a > b:\n        return greatest_common_divisor(a - b, b)\n    else:"
3048,humanevalplus,HumanEval/14,14,deepseek_base,22,same_text__humanevalplus__task_0014__gen_00__HumanEval_14.npz,True,both_pass,0,0,0.0,0,0.0,-1,-1,0,0.0,-1.1776354312896729,-0.6813779473304749,   ,"    return [string[:i] for i in range(1, len(string"
